house_area,house_floor,house_price,house_region,house_type,region_name
63.0,高楼层 (共6层),10794.0,官渡·昆明站,2室1厅1卫,福发路31号
108.88,低楼层 (共6层),23145.0,官渡·昆明站,3室2厅2卫,锦苑花园
81.99,中楼层 (共16层),11953.0,官渡·昆明站,2室2厅1卫,银海领域
54.9,高楼层 (共5层),15119.0,五华·小西门,2室2厅1卫,昆明学院
62.0,低楼层 (共14层),10000.0,官渡·昆明站,1室1厅1卫,银海领域
136.0,高楼层 (共16层),12868.0,官渡·昆明站,3室2厅2卫,银海领域
164.98,低楼层 (共6层),10153.0,官渡·昆明站,5室2厅2卫,航空小区
78.5,中楼层 (共15层),11465.0,官渡·昆明站,3室1厅1卫,航空小区
122.0,中楼层 (共16层),13033.0,官渡·昆明站,3室2厅1卫,银海领域
153.41,低楼层 (共6层),19556.0,官渡·昆明站,4室2厅2卫,锦苑花园
79.0,低楼层 (共42层),9494.0,盘龙·世博,2室1厅1卫,俊发盛唐城
81.36,高楼层 (共8层),11062.0,官渡·昆明站,3室1厅1卫,环南新村
63.27,中楼层 (共5层),9326.0,盘龙·茨坝,3室1厅1卫,云南农业大学教工宿舍一区
106.34,低楼层 (共28层),10345.0,官渡·世纪城,3室2厅2卫,红星天铂南区
69.93,中楼层 (共7层),10154.0,西山·西苑,3室2厅1卫,新发小区
72.8,高楼层 (共11层),13737.0,五华·高新,2室1厅2卫,水逸康桥
137.0,高楼层 (共29层),15037.0,官渡·巫家坝,4室2厅2卫,万科翡翠
100.0,中楼层 (共7层),15000.0,盘龙·白云,3室2厅1卫,金洲湾
89.41,中楼层 (共10层),8724.0,盘龙·白塔,3室1厅2卫,86街公寓U2
50.91,高楼层 (共32层),10804.0,西山·南亚,1室1厅1卫,盛高大城
58.0,低楼层 (共7层),8966.0,盘龙·白云,2室1厅1卫,龙泉花园
62.0,中楼层 (共33层),17259.0,盘龙·白云,2室2厅1卫,翡翠湾
127.0,高楼层 (共16层),8504.0,晋宁·晋宁,3室2厅2卫,七彩云南古滇名城
97.22,中楼层 (共10层),15429.0,官渡·滇池半岛,3室1厅2卫,招商海屿城
135.0,中楼层 (共33层),10371.0,西山·大商汇,3室2厅2卫,广福城雅福园
83.0,高楼层 (共17层),6386.0,呈贡·呈贡,2室1厅1卫,东盟森林
112.48,中楼层 (共33层),12003.0,盘龙·白云,3室2厅2卫,滨江俊园
107.0,高楼层 (共40层),14486.0,盘龙·昆明湖公园,3室2厅2卫,万科金域水岸
150.34,中楼层 (共18层),14301.0,盘龙·世博,4室2厅2卫,碧桂园KCC云南映象
51.48,高楼层 (共7层),9713.0,五华·虹山,3室1厅1卫,虹山东路316号
99.0,中楼层 (共33层),9596.0,盘龙·昆明湖公园,3室1厅2卫,首创禧悦春城
339.0,低楼层 (共3层),20325.0,呈贡·经开区,7室2厅5卫,思兰雅苑C区
103.88,中楼层 (共7层),10590.0,盘龙·金沙,3室2厅2卫,金色交响家园
143.0,低楼层 (共33层),12588.0,五华·北教场,5室1厅1卫,万彩城
102.0,中楼层 (共34层),13628.0,五华·泛亚,3室2厅2卫,融创春风十里御风苑
52.02,高楼层 (共7层),8267.0,五华·二环北,2室2厅1卫,云冶生活区
85.5,高楼层 (共6层),11696.0,西山·大商汇,2室2厅1卫,银德香榭丽园
