name,star,time
布达佩斯大饭店,"拉尔夫·费因斯,托尼·雷沃罗利,西尔莎·罗南",2014-02-06
消失的爱人,"本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯",2014-09-26
美国往事,"罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文",2015-04-23
美丽心灵,"罗素·克劳,詹妮弗·康纳利,艾德·哈里斯",2001-12-13
乱世佳人,"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",1939-12-15
阿凡达,"萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",2010-01-04
搏击俱乐部,"爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",1999-09-10
爱在黎明破晓前,"伊桑·霍克,朱莉·德尔佩,安德莉亚·埃克特",1995-01-27
窃听风暴,"乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克",2006-03-23
飞屋环游记,"爱德华·阿斯纳,克里斯托弗·普卢默,乔丹·长井",2009-08-04
天堂电影院,"菲利浦·诺瓦雷,雅克·贝汉,马克·莱昂纳蒂",2021-06-11
熔炉,"孔刘,郑裕美,金智英",2011-09-22
活着,"葛优,巩俐,牛犇",1994-05-17
你的名字。,"上白石萌音,佟心竹,神木隆之介",2016-12-02
教父,"马龙·白兰度,阿尔·帕西诺,詹姆斯·凯恩",1972-03-14
头号玩家,"泰伊·谢里丹,奥利维亚·库克,本·门德尔松",2018-03-30
龙猫,"秦岚,糸井重里,岛本须美",2018-12-14
闻香识女人,"阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔",1992-12-23
疯狂动物城,"金妮弗·古德温,杰森·贝特曼,伊德瑞斯·艾尔巴",2016-03-04
末代皇帝,"尊龙,陈冲,彼得·奥图尔",1987-10-04
低俗小说,"约翰·特拉沃尔塔,乌玛·瑟曼,塞缪尔·杰克逊",1994-05-21
飞越疯人院,"杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森",1975-11-19
复仇者联盟4：终局之战,"小罗伯特·唐尼,克里斯·埃文斯,马克·鲁法洛",2019-04-24
无间道,"刘德华,梁朝伟,黄秋生",2003-09-05
蝴蝶效应,"约翰·帕特里克·阿梅多利,罗根·勒曼,卡梅隆·布莱特",2004-01-23
大话西游之大圣娶亲,"周星驰,朱茵,莫文蔚",2014-10-24
天使爱美丽,"奥黛丽·塔图,马修·卡索维茨,吕菲斯",2001-04-25
天空之城,"田中真弓,横泽启子,初井言荣",2023-06-01
时空恋旅人,"瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",2013-09-04
爱在日落黄昏时,"伊桑·霍克,朱莉·德尔佩,弗农·多布切夫",2015-04-20
盗梦空间,"莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",2010-09-01
泰坦尼克号,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",1998-04-03
哪吒之魔童降世,"吕艳婷,囧森瑟夫,瀚墨",2019-07-26
阿甘正传,"汤姆·汉克斯,罗宾·怀特,加里·西尼斯",1994-07-06
楚门的世界,"金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",1998
千与千寻,"柊瑠美,周冬雨,井柏然",2019-06-21
触不可及,"弗朗索瓦·克鲁塞,奥马·希,安娜·勒尼",2011-11-02
寻梦环游记,"安东尼·冈萨雷斯,本杰明·布拉特,盖尔·加西亚·贝纳尔",2017-11-24
辛德勒的名单,"连姆·尼森,拉尔夫·费因斯,本·金斯利",1993-11-30
情书,"中山美穗,丰川悦司,酒井美纪",1999-03-01
我不是药神,"徐峥,周一围,王传君",2018-07-05
肖申克的救赎,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",1994-09-10
海上钢琴师,"蒂姆·罗斯,比尔·努恩 ,克兰伦斯·威廉姆斯三世",2019-11-15
绿皮书,"维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼",2019-03-01
