job_address,job_duty,job_name,job_require,job_time,job_type
西安,"1.负责大数据hadoop，spark，ES, hive，flink，clickhouse以及数据湖等相关产品的测试工作；
2.分析产品相关需求、设计、架构等，设计测试方法和测试用例；
3.挖掘并跟进实施性能测试、竞品对比测试、稳定性等专项测试，保障和提升产品质量；
4.负责建设产品相关的自动化测试、Devops等工作；
5.不断改进测试过程、方法和技术，提升产品质量；
6.注：此岗位为腾讯集团旗下子公司编制岗位。",大数据系统测试工程师（武汉/长沙/西安）,"1.本科以上学历，3年以上大数据相关的开发/测试经验或对大数据有浓厚兴趣者优先考虑；
2.熟悉大数据相关组件，包括spark,hive,es,clickhouse等，有spark，hive等调优经验者优先；
3.有大数据集群部署经验优先，有丰富大数据场景经验，问题快速定位跟踪者优先；
4.有数据湖相关开发测试经验者优先；
5.熟悉linux系统，精通一种或多种脚本语言（如python，shell），熟悉CICD 有python，java等编写经验者优先；
6.具备良好的团队合作精神，善于协调沟通，具备较强的问题定位和推动解决能力；
7.具备较强的抗压能力，能面对大数据的机遇与挑战，在较大压力下保持工作激情。",2024年01月08日,技术
武汉,"1.参与地图数据自动化生产GNSS定位算法平台建设，负责GNSS定位算法模型的工程化和服务化，支持对内、对外提供服务接口；
2.参与通用算法微服务框架及服务治理平台的研发和迭代，引进腾讯云等基础设施中间件，提升算法快速应用落地能力；
3.参与算法模型部署架构设计，算法服务监控等关键架构问题和技术难题、推动技术革新，系统性能调优。",GNSS定位后端开发,"1.地理信息，计算机科学、电子信息、自动化、通信工程等信息技术相关专业本科以上学历，2年以上工作经验；
2.熟悉Linux开发环境、熟悉常见的数据结构和算法设计，有云服务化软件基础架构开发及服务器后端系统开发经验；
3.具有扎实的编程基础，熟练掌握Python、c++等语言，熟悉Python优先；
4.有较强的Linux程序性能和缺陷诊断和分析的能力；
5.对GNSS定位，地理信息服务等工作经验优先；
6.工作有热情，具备良好的执行力、沟通能力和团队协作能力优先；
7.注：此岗位为腾讯集团子公司编制岗位。",2023年11月30日,技术
US-Irvine,"Create high fidelity materials that bring the game environmentsto life.
Work with production to identify risks, dependencies, and scoping.
Create and maintain best practices and documentation for Environment Art and art pipelines.
Train the team on best practices, tools and pipelines.
Analyze competitive projects and make recommendations to help improve graphics and pipelines.
Assist in the recruiting of other developers including interviewing, screening and other decisions.
Collaborate with the Art and Engineering Team on building tools and pipelines for Unreal Engine 5.
Work Location: US-Irvine",Materials Artist,"5+ years of experience in an environment art role, with experience shipping AAA games.
Solid understanding of 3d art and game development pipelines, and tools.
Familiar with the majority of modern 3D DCC packages like Maya, Zbrush, Substance Designer/Painter.
Knowledge of Python or other scripting languages, procedural tools such as Houdini, Unreal Engine etc.
A strong desire to collaborate with other departments.
Able to work in a highly iterative team environment.
Passion for making and playing great games.",2023年12月16日,Design & Art
广州,"1.负责视频号直播及直播带货推荐，对召回、粗排、精排、策略等链路进行优化；
2.结合业务的实际特点将工业界、学术界的前沿技术落地提升业务效果；
3.对用户和作者行为做深入的分析和理解，制定算法策略促进生态良性发展。",微信视频号高级/专家推荐算法工程师(直播/直播带货),"1.精通机器学习算法、深度学习算法在推荐系统/搜索/广告的应用理论和实践，有直播或电商推荐相关经验者优先；
2.具有良好的工程实现能力，熟练掌握C/C++、Java、Python、Scala等至少一种编程语言，熟悉tensorflow/pytorch等框架；
3.有较好的沟通能力、团队协作能力，积极主动，愿意接受挑战。",2024年02月02日,技术
深圳,"1.负责视频号直播及直播带货推荐，对召回、粗排、精排、策略等链路进行优化；
2.结合业务的实际特点将工业界、学术界的前沿技术落地提升业务效果；
3.对用户和作者行为做深入的分析和理解，制定算法策略促进生态良性发展。",微信视频号高级/专家推荐算法工程师(直播/直播带货),"1.精通机器学习算法、深度学习算法在推荐系统/搜索/广告的应用理论和实践，有直播或电商推荐相关经验者优先；
2.具有良好的工程实现能力，熟练掌握C/C++、Java、Python、Scala等至少一种编程语言，熟悉tensorflow/pytorch等框架；
3.有较好的沟通能力、团队协作能力，积极主动，愿意接受挑战。",2024年02月02日,技术
深圳,"1.协助美术同学，完成标杆角色的身体及表情绑定；
2.与美术、程序合作，开发并测试复杂动画系统，推动新技术方案的落地；
3.开发DCC及引擎中的动画工具，提高生产效率；
4.参与并监督动画资源的引擎合入，确保符合技术规范；
5.支持动作管线，解决制作中遇到的技术问题。",《航海王》手游高级动作向技术美术,"1.熟悉Maya绑定和动画系统；
2.熟悉游戏中动画的实现原理和限制，了解引擎中动画状态机、动画树、动作重定向，及相关编辑器的使用；
3.有高质量动作捕捉工作经验；
4.精通Python语言，有DCC工具开发经验；
5.良好的英语水平；良好的沟通能力和协作能力。",2024年02月02日,设计
深圳,"1.负责腾讯云核心产品的设计与开发；
2.负责系统的技术架构，设计和落地必要的工具和机制，保障系统的稳定性、可用性、安全性；
3.负责平台的性能优化，系统地分析定位性能瓶颈，确保各性能指标保持业界领先。",腾讯云高级研发工程师,"1.计算机专业本科及以上学历，后台开发经验 ；
2.熟练掌握linux环境下c++/c/golang/python/java中的一种或几种 ；
3.熟练掌握常见的数据结构和算法；
4.熟悉网络的基本原理，如TCP/IP协议，HTTP协议等；
5.具有较好的团队合作和沟通能力。",2024年02月04日,技术
上海,"1.提升游戏画面效果表现；
2.对shader进行优化, 精简；
3.准确理解工作需求, 配合策划/程序完成需求；
4.解决美术渲染相关的bug等。",技术美术(渲染/表现/效果),"1.熟悉Unreal4, 包括蓝图编辑器, 材质编辑器, UIWidget等；
2.了解PBR原理, 熟悉各种特殊表面的特性及对应移动端效果实现；
3.熟悉角色渲染技术；
4.具备编程能力, 如python, c/c++, hlsl/glsl 等；
5.熟悉美术生产管线, 有独立构建某一框架/美术管线经验者尤佳。",2024年01月15日,设计
上海,"1.负责人工智能和计算机视觉在生物特征识别领域的算法研究和业务落地；
2.负责深度学习和计算机视觉前沿算法研究，方向包括但不限于人脸识别、ReID、模型轻量化、图像生成、知识蒸馏等。",优图实验室算法研究员(计算机视觉方向),"1.熟练并掌握机器学习、深度学习、计算机视觉基本方法，深入自身研究方向和发展；
2.较强的算法实现能力，熟练掌握C/C++，Python等编程，熟悉深度学习平台如PyTorch等；
3.较强的研究创新能力，一作发表过顶会顶刊论文或参加过高影响力比赛取得较好名次；
4.能快速学习新知识，对技术研发富有激情，具备良好的团队合作精神。",2024年01月31日,技术
深圳,"1.负责生成式大模型预训练相关的工作，包括但不限于：大规模模型预训练、Prompt预训练、语境学习；
2.探索与跟进前沿技术，寻求技术突破，推动机器在AIGC能力的提升和突破；
3.探索高效的模型知识嵌入方法以及模型知识在线学习更新；
4.探索prompt工程，充分挖掘大模型知识。",混元预训练算法研究员/专家研究员（深圳/北京）,"1.熟练掌握Python，熟悉Linux环境开发，精通应用深度学习框架TensorFlow或者PyTorch；
2.持续跟进前沿的深度学习技术，了解前沿的深度学习相关算法，熟悉Transformer等模型结构；
3.具备分析问题定义问题和解决问题能力，具备持续的自驱力来面对挑战；
4.有大规模模型预训练实践经验者或有较强的研究能力在机器学习领域顶级会议发表过高质量论文者优先。",2024年02月04日,技术
深圳,"1.1.参与NLP/多模态前沿模型推理加速方案研究；
2.通过分析业务性能瓶颈和模型特点，使用软硬件联合优化实现高速推理方案；
3.针对AIGC大模型，针对性的设计推理加速以及成本优化方案，助力大模型的落地上线。。",混元大模型量化压缩高级算法工程师（深圳/北京）,"1.1.熟练掌握python, 在pytorch或tensorflow中熟练掌握至少一种；
2.了解目前主流的模型加速手段，熟悉模型量化/剪枝的算法原理和实现方式，并且了解硬件上对于模型加速的支持方案；
3.具有扎实的数理基础，熟悉常见的算法和数据结构，具有良好的编程习惯；
4.熟练掌握机器学习的相关知识，熟悉在CV或NLP领域的主流模型及其应用场景。。",2024年02月01日,技术
深圳,"1.负责数据安全相关系统的设计、开发和维护，保证系统的高可用性和稳定性；
2.负责AI相关数据处理和AI应用研发工作；
3.负责后台系统研效提升相关工作，协调并提升团队研发效率、质量。",后台开发工程师,"1.熟练掌握Golang编程语言，具备python开发能力，有丰富的开发经验；  同时掌握c++者优先；
2.熟悉Linux操作系统、熟悉网络编程，具备调试能力、问题分析能力；
3.关注并了解AI算法和技术，对AI赋能场景有探索，有AI应用开发经验者优先；
4.具备强烈的进取心、求知欲及团队合作精神，有很强的责任心和较强的沟通协作能力。",2024年01月08日,技术
深圳,"1.分析、梳理大模型的内外部需求，支持大模型标品的规划、设计、组织、协调工作；
2.负责对大模型业务化需求能力提升方面的训练与验证工作；
3.通过大模型对客户的行业、IT规模等进行收集和预判；
4.通过大模型支撑各系统的智能客服、常见问题等应答查询场景提供产品、运营工作支持；
5.负责大模型在垂直应用场景的能力定义及评估；
6.对模型生成内容质量负责，通过科学严谨的分析评估手段，确保模型能力满足用户需求；
7.关注数据生产，为模型SFT、RL训练提供高质量的数据产出。",经营管理系统大模型高级产品经理,"1.本科及以上学历。有NLP算法产品、大模型评估优化、SFT、RL等相关经验者优先；
2.对chatGPT或其他大语言模型类产品具备相当认知；
3.逻辑思维强，学习能力强，能快速发现总结问题的共性规律；
4.能够熟练的使用Excel、Python等数据分析工具，独立完成基础的数据分析任务；
5.有多轮对话、文本理解相关场景经验者优先。",2024年01月17日,产品
西安,"1.负责腾讯云大数据平台运维,基于腾讯云提供的IaaS\PaaS\SaaS服务，构建全局智能监控、故障处理能力，为客户业务提供最佳保障服务；
2.参与智能化运维AIOps，对标互联网SRE业界优秀经验，基于自研运维平台，实现智能化运维；
3.负责Hadoop/spark/HBASE/Clickhouse/Elasticsearch等集群服务异常的应急响应及处理。",腾讯云大数据运维工程师,"1.熟悉HDFS、YARNFlink、Spark、impala、Kudu、Hive、Elasticsearch、Hbase、Clickhouse等大数据技术至少精通其中2项以上；
2.熟练掌握一门以上编程语言（java/python/golang等）；
3.精通linux或unix操作系统，及系统性能调优、故障处理；
4.3年以上大数据运维或开发经验，有很好的故障排查能力，技术敏感度和风险识别能力；
5.注：此岗位为腾讯集团旗下子公司编制。",2024年01月10日,技术
武汉,"1.负责腾讯会议标签的挖掘工作，对标题、UGC内容进行特征挖掘，包括但不限于文本分类、关键词提取、实体挖掘等；
2.跟踪业界最新研究成果，根据实际应用效果不断改进模型或算法，以及将前沿NLP技术/成果应用于业务相关场景中。",腾讯会议数据分析工程师,"1.精通python/scala/java/c++至少一种开发语言；有较好的算法基础及工程实践优先；
2.扎实的机器学习和自然语言处理基础；在NLP领域有相关的工作经验优先；
3.有较强的研究能力；
4.顶级会议发表过高质量论文者优先；
5.熟悉深度学习平台如tensorflow，pytorch，caffe等，通过腾讯云从业资格证或同等资格认证的优先录取。",2024年01月18日,技术
深圳,"1.与团队核心成员合作，确定和开发美术生产流程，以满足美术在有限资源下创作高质量艺术的需求；
2.深入项目和业务，结合项目需求制定技术美术方案并推动落地，确保项目顺利上线；
3.参与各个美术模块的开发管线建设，优化美术pipeline，设计工作流效率提升方案；
4.关注当前和未来图形软件和硬件的趋势和方法，推动新技术在项目组的应用。",《UE4 PVE科幻跨端射击游戏》技术美术,"1.5年以上技术美术经验，有成功项目经验优先；
2.精通3D 图形软件（如 3DS Max、Maya 等），熟悉程序化生成软件（如SD，SP，Houdini等）；
3.使用 MaxScript、Python、C Sharp 等语言编写脚本/编程的工作知识；
4.熟练掌握GLSL, HLSL, CG等至少一门Shader编程语言；
5.出色的时间管理和优先排序能力，优秀的人际关系和沟通技巧。",2024年01月19日,设计
成都,"1.着眼未来项目发展方向，探寻策划日常工作痛点，推动相关程序/策划/PM，优化现有管线已有内容和补足功能缺失玩法蓝图，英雄技能等逻辑制作，维护对应技术文档；
2.主导维护特定管线，提升研发质量与效率；
3.协助策划与其他职能沟通和制定设计需求的技术解决方案。",《王者荣耀》资深技术策划,"1.熟练应用UE或者Unity等大型商业引擎；
2.有良好的编程能力和思维，熟悉C++/CS/Python/Lua等编程语言；
3.主导设计/制作过完整的游戏内容制作管线；
4.有较强的学习能力，对未知的事物有好奇心和探索欲；
5.动手能力强，可以独立完成一些特定的管线制作和设计；
6.关注用户体验，敬业爱岗，有良好的沟通能力和合作意识。",2024年01月23日,产品
深圳,"1.设计和部署大规模机器学习模型，用于支付场景中的活动营销、商品推荐和内容运营，深刻洞察业务需求，有效提高用户支付转化率；
2.负责基础数据构建，实现多模态数据的标准采集、接入、清洗、标注及向量化，以保障高质量的基础数据构建及存储支持；
3.优化现有工程框架实现，确保算法在生产环境中的稳定性和可扩展性，包括但不限于代码模块化、版本控制、自动化测试和部署。",计费支付推荐算法工程师,"1.计算机、数学、机器学习或相关专业硕士及以上学历；
2.深入理解自然语言处理（NLP）领域的理论基础，大型互联网公司/支付公司算法模型经验优先；
3.熟练掌握SQL和Python编程语言；熟悉Spark、ClickHouse等大数据计算框架及常见的数据挖掘和机器学习工具；
4.具备强烈的责任心和进取心，拥有出色的团队合作能力和自我驱动力。",2024年01月25日,技术
深圳,"1.通过算法设计和系统实现，优化微信合约广告的库存分配和播放控制，提升广告主投放体验；
2.基于微信各场景流量特性，结合数据分析、建模、策略设计等手段，优化合约广告推荐效果；
3.参与广告领域前沿算法研究并落地，包括但不限于强化学习算法及应用、跨场景的知识迁移学习等，驱动前沿算法与业务场景结合落地。",腾讯广告微信合约广告算法工程师,"1.本科及以上学历，5年以上相关工作经验；
2.具备扎实的数据结构和算法功底，熟悉 Linux 开发环境，熟练使用C/C++，Python、scala等开发语言；
3.有机器学习算法优化理论的研究经验，熟悉Tensorflow或者PyTorch机器学习框架，以及spark大数据开发框架；
4.有广告投放机制、用户体验建模、搜广推方面经验者优先；
5.优秀的分析问题、解决问题能力和团队合作意识。",2024年01月29日,技术
深圳,"1.负责整体梳理游戏会员体系业务的运营流程，包含但不限于用户运营、商品运营、积分商城及会员体系活动运营能力，并将运营流程标准化，建设相关CMS平台系统及工具。提高运营效率，扩大收入规模，降低客诉率；
2.负责用户运营管理端系统建设，包括消息触达、私域运营，用户反馈功能及工具设计等；
3.负责积分商城体系的运营系统建设，包括商品产销存、价格管理、商城运营活动的cms系统和功能设计；
4.负责会员权益体系增长活动平台功能及底层能力建设。",游戏会员系统产品策划,"1.本科及以上学历，2年以上B端系统/数据策略相关产品策划经验，计算机相关专业优先；
2.较强的逻辑思维能力、抽象结构能力、严谨性，有对系统设计的洁癖和坚持；
3.较好的同理心和合作意识，细节控有耐心，极强的责任心；
4.尊重用户体验，强结果导向，有较好的抗压能力；
5.对数据敏感，熟悉SQL、Python等数据处理技能。",2024年01月25日,产品
